ID;NOME;ID_CLASSE;CAPACIDADE_MAX_VIDA;CAPACIDADE_MAX_MANA;DATA_ATUALIZACAO;DATA_CRIACAO
1;Antônio22;1;250;500;05/02/2019;10/01/2019
2;SpearHunter;3;100;200;05/02/2019;01/01/2019
3;PotatoHead;5;150;300;05/02/2019;02/02/2019
4;FernandoBR;2;139;227;05/02/2019;10/01/2019
5;Lupito7;5;230;260;05/02/2019;01/01/2019
6;Gabrielns;3;183;415;05/02/2019;02/02/2019
7;ArielMn22;2;85;251;05/02/2019;10/01/2019
8;supraBud;5;106;104;05/02/2019;01/01/2019
9;supraSander;7;165;467;05/02/2019;02/02/2019
10;supraLeoni;4;163;84;05/02/2019;10/01/2019
